Wavelength,Sensitivity
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0.8817434906959534
339,0.8819937705993652
340,0.882243275642395
341,0.8824906945228577
342,0.8827342391014099
343,0.8829714059829712
344,0.8831993937492371
345,0.8834146857261658
346,0.8836135864257812
347,0.8837918639183044
348,0.8839449882507324
349,0.8840680718421936
350,0.8841561079025269
351,0.8842036724090576
352,0.884205162525177
353,0.8841549158096313
354,0.8840469717979431
355,0.8838754296302795
356,0.883634090423584
357,0.8833168745040894
358,0.8829176425933838
359,0.8824302554130554
360,0.8818484544754028
361,0.8811662793159485
362,0.8803775906562805
363,0.8794765472412109
364,0.8784573078155518
365,0.8773140907287598
366,0.8760414719581604
367,0.8746340274810791
368,0.8730866312980652
369,0.8713943362236023
370,0.8695524334907532
371,0.8675564527511597
372,0.8654022812843323
373,0.8630861639976501
374,0.8606046438217163
375,0.8579545617103577
376,0.8551334142684937
377,0.8521389365196228
378,0.848969578742981
379,0.8456241488456726
380,0.8421021699905396
381,0.8384037613868713
382,0.8345299363136292
383,0.8304821848869324
384,0.8262630701065063
385,0.8218759298324585
386,0.8173251152038574
387,0.8126161098480225
388,0.8077554702758789
389,0.8027508854866028
390,0.7976115345954895
391,0.7923478484153748
392,0.7869718074798584
393,0.781497061252594
394,0.775938868522644
395,0.7703143954277039
396,0.764642596244812
397,0.7589446902275085
398,0.7532438635826111
399,0.7475656270980835
400,0.7419379949569702
401,0.7363904118537903
402,0.7309500575065613
403,0.7256410717964172
404,0.7204844951629639
405,0.7154989838600159
406,0.7107005715370178
407,0.7061029672622681
408,0.7017179131507874
409,0.6975552439689636
410,0.6936230063438416
411,0.6899276971817017
412,0.6864745020866394
413,0.6832672953605652
414,0.6803087592124939
415,0.6776007413864136
416,0.6751440167427063
417,0.6729387640953064
418,0.6709843873977661
419,0.6692798733711243
420,0.6678234934806824
421,0.6666133403778076
422,0.665647029876709
423,0.6649218201637268
424,0.6644348502159119
425,0.6641830801963806
426,0.6641631722450256
427,0.6643717885017395
428,0.6648053526878357
429,0.6654604077339172
430,0.6663331389427185
431,0.6674198508262634
432,0.6687167286872864
433,0.6702199578285217
434,0.6719255447387695
435,0.6738294959068298
436,0.6759277582168579
437,0.6782161593437195
438,0.6806905269622803
439,0.6833464503288269
440,0.6861795783042908
441,0.6891853213310242
442,0.6923590898513794
443,0.6956961154937744
444,0.6991913914680481
445,0.7028400301933289
446,0.7066367864608765
447,0.7105763554573059
448,0.7146533727645874
449,0.7188621759414673
450,0.7231971025466919
451,0.7276522517204285
452,0.7322218418121338
453,0.7368996143341064
454,0.7416794896125793
455,0.7465552091598511
456,0.7515204548835754
457,0.7565686702728271
458,0.76169353723526
459,0.7668883800506592
460,0.7721467614173889
461,0.7774620056152344
462,0.782827615737915
463,0.7882369756698608
464,0.7936835885047913
465,0.799160897731781
466,0.8046625256538391
467,0.8101820349693298
468,0.8157131671905518
469,0.8212496638298035
470,0.8267853856086731
471,0.8323143124580383
472,0.8378304839134216
473,0.843328058719635
474,0.84880131483078
475,0.854244589805603
476,0.8596524000167847
477,0.8650192618370056
478,0.8703398704528809
479,0.8756090402603149
480,0.8808215260505676
481,0.8859724402427673
482,0.8910567164421082
483,0.8960694670677185
484,0.9010059833526611
485,0.9058614373207092
486,0.9106312990188599
487,0.9153109192848206
488,0.9198957681655884
489,0.92438143491745
490,0.9287635087966919
491,0.9330376982688904
492,0.9371996521949768
493,0.9412452578544617
494,0.9451702237129211
495,0.9489704966545105
496,0.952642023563385
497,0.9561806917190552
498,0.9595825672149658
499,0.9628437757492065
500,0.9659603238105774
501,0.9689285755157471
502,0.9717445969581604
503,0.9744048714637756
504,0.9769056439399719
505,0.9792434573173523
506,0.9814148545265198
507,0.9834164381027222
508,0.985244870185852
509,0.9868969917297363
510,0.9883698225021362
511,0.9896602630615234
512,0.9907655119895935
513,0.9916828870773315
514,0.9924097657203674
515,0.9929437041282654
516,0.9932824373245239
517,0.9934238195419312
518,0.9933658242225647
519,0.9931066036224365
520,0.9926446676254272
521,0.9919784069061279
522,0.9911065697669983
523,0.9900280237197876
524,0.9887419939041138
525,0.9872475862503052
526,0.9855443835258484
527,0.9836320281028748
528,0.9815104007720947
529,0.9791795015335083
530,0.9766396880149841
531,0.9738914370536804
532,0.9709353446960449
533,0.967772364616394
534,0.9644035696983337
535,0.9608301520347595
536,0.9570537209510803
537,0.9530759453773499
538,0.9488987326622009
539,0.9445241093635559
540,0.9399545192718506
541,0.9351924657821655
542,0.9302407503128052
543,0.9251022934913635
544,0.9197803139686584
545,0.9142783284187317
546,0.9085999727249146
547,0.9027490615844727
548,0.8967297673225403
549,0.8905463814735413
550,0.8842035531997681
551,0.877705991268158
552,0.8710586428642273
553,0.8642666935920715
554,0.8573355078697205
555,0.8502706289291382
556,0.8430777192115784
557,0.8357626795768738
558,0.8283314108848572
559,0.8207901120185852
560,0.8131449222564697
561,0.8054021596908569
562,0.7975682020187378
563,0.789649486541748
564,0.7816525101661682
565,0.7735836505889893
566,0.7654495239257812
567,0.7572565078735352
568,0.7490110993385315
569,0.7407196164131165
570,0.7323884963989258
571,0.7240239381790161
572,0.7156320810317993
573,0.7072190046310425
574,0.6987906694412231
575,0.6903527975082397
576,0.6819111704826355
577,0.6734712719917297
578,0.6650383472442627
579,0.6566177010536194
580,0.6482142806053162
581,0.6398329138755798
582,0.6314781904220581
583,0.6231544613838196
584,0.6148660778999329
585,0.6066169142723083
586,0.5984107255935669
587,0.5902511477470398
588,0.5821414589881897
589,0.5740847587585449
590,0.5660839080810547
591,0.5581415891647339
592,0.5502601265907288
593,0.5424418449401855
594,0.5346886515617371
595,0.5270023345947266
596,0.5193843841552734
597,0.5118362307548523
598,0.5043590068817139
599,0.4969536364078522
600,0.4896209239959717
601,0.48236146569252014
602,0.4751757085323334
603,0.46806395053863525
604,0.46102625131607056
605,0.45406264066696167
606,0.44717293977737427
607,0.44035688042640686
608,0.4336140751838684
609,0.42694398760795593
610,0.42034608125686646
611,0.4138195812702179
612,0.40736374258995056
613,0.40097776055336
614,0.39466071128845215
615,0.38841161131858826
616,0.3822294771671295
617,0.37611329555511475
618,0.370061993598938
619,0.3640744686126709
620,0.3581496477127075
621,0.3522863984107971
622,0.34648361802101135
623,0.3407401740550995
624,0.3350549638271332
625,0.3294268846511841
626,0.3238547444343567
627,0.3183375298976898
628,0.31287404894828796
629,0.30746322870254517
630,0.3021039366722107
631,0.2967950701713562
632,0.2915355861186981
633,0.28632432222366333
634,0.2811602056026459
635,0.2760421633720398
636,0.27096912264823914
637,0.26594001054763794
638,0.26095375418663025
639,0.2560093402862549
640,0.2511056959629059
641,0.24624179303646088
642,0.24141666293144226
643,0.23662926256656647
644,0.23187865316867828
645,0.22716382145881653
646,0.22248385846614838
647,0.21783779561519623
648,0.21322472393512726
649,0.20864371955394745
650,0.20409390330314636
651,0.19957436621189117
652,0.19508427381515503
653,0.1906227469444275
654,0.1861889511346817
655,0.18178203701972961
656,0.17740118503570557
657,0.17304560542106628
658,0.16871444880962372
659,0.16440695524215698
660,0.16012230515480042
661,0.15585973858833313
662,0.15161845088005066
663,0.14739766716957092
664,0.14319664239883423
665,0.1390145868062973
666,0.13485074043273926
667,0.1307043433189392
668,0.12657466530799866
669,0.12246092408895493
670,0.11836239695549011
671,0.11427833884954453
672,0.11020801961421967
673,0.10615070909261703
674,0.10210567712783813
675,0.09807222336530685
676,0.09404963999986649
677,0.09003723412752151
678,0.08603431284427643
679,0.0820402055978775
680,0.07805425673723221
681,0.07407581806182861
682,0.07010425627231598
683,0.06613896787166595
684,0.062179356813430786
685,0.05822484940290451
686,0.054274894297122955
687,0.050328973680734634
688,0.04638657718896866
689,0.04244723916053772
690,0.038510512560606
691,0.03457597643136978
692,0.030643252655863762
693,0.02671198919415474
694,0.022781871259212494
695,0.018852613866329193
696,0.01492397766560316
697,0.010995757766067982
